HOLDINGS,TICKER,FUND WEIGHT,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
Monolithic Power Systems Inc,MPWR,0.00,Semiconductors,US,---,"$1,655,161,211.13 ","1,305,569"
Truist Financial Corp,TFC,0.00,Regional Banks,US,---,"$1,640,728,232.36 ","33,092,542"
ONEOK Inc,OKE,0.00,Oil & Gas Storage & Transportation,US,---,"$1,607,096,028.40 ","16,738,840"
TE Connectivity PLC,TEL,0.00,Electronic Manufacturing Services,US,---,"$1,591,528,409.25 ","7,754,097"
Dominion Energy Inc,D,0.00,Multi-Utilities,US,---,"$1,542,842,686.63 ","23,372,863"
Realty Income Corp,O,0.00,Retail REITs,US,---,"$1,518,489,414.56 ","24,779,527"
Nucor Corp,NUE,0.00,Steel,US,---,"$1,510,491,255.92 ","6,050,678"
WW Grainger Inc,GWW,0.00,Trading Companies & Distributors,US,---,"$1,510,402,431.72 ","1,153,428"
NXP Semiconductors NV,NXPI,0.00,Semiconductors,US,---,"$1,507,053,600.00 ","6,708,750"
Fastenal Co,FAST,0.00,Trading Companies & Distributors,US,---,"$1,503,876,104.00 ","30,498,400"
Corteva Inc,CTVA,0.00,Fertilizers & Agricultural Chemicals,US,---,"$1,503,534,379.62 ","17,765,974"
Devon Energy Corp,DVN,0.00,Oil & Gas Exploration & Production,US,---,"$1,485,913,642.29 ","30,631,079"
Keysight Technologies Inc,KEYS,0.00,Electronic Equipment & Instruments,US,---,"$1,470,357,702.10 ","4,556,423"
Cardinal Health Inc,CAH,0.00,Health Care Distributors,US,---,"$1,459,214,397.60 ","6,219,480"
Teradyne Inc,TER,0.00,Semiconductor Materials & Equipment,US,---,"$1,454,832,073.89 ","4,158,683"
Autodesk Inc,ADSK,0.00,Application Software,US,---,"$1,450,167,416.93 ","5,609,281"
Ford Motor Co,F,0.00,Automobile Manufacturers,US,---,"$1,449,443,492.30 ","103,977,295"
Coherent Corp,COHR,0.00,Electronic Components,US,---,"$1,445,097,182.76 ","5,201,372"
Comfort Systems USA Inc,FIX,0.00,Construction & Engineering,US,---,"$1,444,225,782.38 ","934,399"
Ciena Corp,CIEN,0.00,Communications Equipment,US,---,"$1,437,997,004.40 ","3,756,523"
AMETEK Inc,AME,0.00,Electrical Components & Equipment,US,---,"$1,431,900,273.96 ","6,088,788"
Sempra,SRE,0.00,Multi-Utilities,US,---,"$1,418,738,228.90 ","17,365,217"
Aflac Inc,AFL,0.00,Life & Health Insurance,US,---,"$1,409,602,673.85 ","12,167,481"
State Street Corp,STT,0.00,Asset Management & Custody Banks,US,---,"$1,407,043,175.58 ","7,352,091"
Carvana Co,CVNA,0.00,Automotive Retail,US,---,"$1,398,302,725.56 ","19,034,886"
Edwards Lifesciences Corp,EW,0.00,Health Care Equipment,US,---,"$1,387,993,299.00 ","15,294,692"
Becton Dickinson & Co,BDX,0.00,Health Care Equipment,US,---,"$1,376,015,056.39 ","7,314,949"
Public Storage,PSA,0.00,Self-Storage REITs,US,---,"$1,367,880,516.18 ","4,455,782"
MetLife Inc,MET,0.00,Life & Health Insurance,US,---,"$1,366,331,707.16 ","14,356,748"
Delta Air Lines Inc,DAL,0.00,Passenger Airlines,US,---,"$1,354,068,924.00 ","17,359,858"
Honeywell Aerospace Inc,HONA,0.00,Aerospace & Defense,US,---,"$1,330,687,911.76 ","8,416,216"
Ameriprise Financial Inc,AMP,0.00,Asset Management & Custody Banks,US,---,"$1,321,128,124.95 ","2,388,545"
L3Harris Technologies Inc,LHX,0.00,Aerospace & Defense,US,---,"$1,317,801,712.50 ","4,949,490"
Moderna Inc,MRNA,0.00,Biotechnology,US,---,"$1,317,077,427.36 ","9,384,904"
AutoZone Inc,AZO,0.00,Automotive Retail,US,---,"$1,311,491,230.56 ","438,444"
Chipotle Mexican Grill Inc,CMG,0.00,Restaurants,US,---,"$1,295,680,350.62 ","34,069,954"
Fifth Third Bancorp,FITB,0.00,Diversified Banks,US,---,"$1,294,856,071.45 ","24,081,385"
Entergy Corp,ETR,0.00,Electric Utilities,US,---,"$1,293,574,126.64 ","12,167,944"
Westinghouse Air Brake Technologies Corp,WAB,0.00,Construction Machinery & Heavy Transportation Equipment,US,---,"$1,288,784,869.92 ","4,507,344"
Vivmark Residential,VMRK,0.00,Multi-Family Residential REITs,US,---,"$1,266,802,658.90 ","19,447,385"
Xcel Energy Inc,XEL,0.00,Electric Utilities,US,---,"$1,256,216,560.47 ","16,596,863"
Rockwell Automation Inc,ROK,0.00,Electrical Components & Equipment,US,---,"$1,254,629,935.05 ","2,956,035"
NIKE Inc,NKE,0.00,Footwear,US,---,"$1,244,932,272.36 ","31,872,306"
Garmin Ltd,GRMN,0.00,Consumer Electronics,US,---,"$1,237,267,229.68 ","4,354,888"
